wave,course,respondent_id,question_id,question_short,response
T1,Course A,T1_A_05,Q16_suggest,Q16_suggest,no
T1,Course A,T1_A_06,Q12_balance,Q12_balance,They help me especially when the language for some topics is difficult. The AI can explain it simpler and that helps me understand and complete the task.
T1,Course A,T1_A_06,Q13_features,Q13_features,"The R codes are really helpful. Being able to copy them straight into R is good. Another thing that helps is when it shows the problems step by step, rather than just giving the answer without any context."
T1,Course A,T1_A_06,Q14_equity,Q14_equity,"I think it accommodates students equally. The only problem I can think of is that if you struggle with your vision (blindness). If the AI tutor has some audio help, then that problem is gone as well."
T1,Course A,T1_A_06,Q15_critthink,Q15_critthink,It really helps me when working on topics outside of the lecture. It is like having a personal lecturer besides you that helps you. One example was before an exam where I made it make questions for me.
T1,Course A,T1_A_07,Q12_balance,Q12_balance,"AI helps me when I have questions that I would like to ask the professor but since I am home or someone else it is a way for me to get answers as well as asking more questions. It also helps me when I need understanding on certain topics, and it helps by giving me easy to understand examples."
T1,Course A,T1_A_07,Q13_features,Q13_features,"What feature I found most helpful is that when it comes to certain questions like for when I needed help with my r code it gave me more than one way to understand the question I was asking, and it showed me multiple ways to get the same response and it some cases it was easier to understand."
T1,Course A,T1_A_07,Q14_equity,Q14_equity,In my opinion for me it accommodates to me so I do not know how it will work with other people but for me it helps by giving me examples of what I am looking for so I am assuming that this will also be the same case for othe subjects.
T1,Course A,T1_A_07,Q15_critthink,Q15_critthink,"I believe that it has cause my understanding to elevate since it allowed me to understand faster and, in a way, it was like a head start when I was stuck since it would give me ideas that would help me continue to progress when it came to working on assignments."
T1,Course A,T1_A_07,Q16_suggest,Q16_suggest,N/A
T1,Course A,T1_A_08,Q12_balance,Q12_balance,"Ai tools can help me understand some concepts sometimes when I'm confused. I'm confuse very often so I often use it to enhance my knowledge and understand it better. I use Ai tools like chat=gbt because it gives very concise and understandable descriptions of the topic and the problem I'm trying to solve. Very often I would encounter a math problem in this class and I tend to look to google for help, but chat gbt overall helped me overcome some of the confusion."
T1,Course A,T1_A_08,Q13_features,Q13_features,Some features of the Ai tutor that I found most helpful was mostly when it gave good descriptions of the topic. I dont think it requires improvement.
T1,Course A,T1_A_08,Q14_equity,Q14_equity,I believe Ai tutor does accommodates the needs of all students equally.
T1,Course A,T1_A_08,Q15_critthink,Q15_critthink,"It has affected my ability to think critically and solve problems independently because I'm able to understand somethings better when I'm given step by step explanations. When I was studying for r codes, I realized sometimes I would get the codes wrong so I used AI tools to help me."
T1,Course A,T1_A_08,Q16_suggest,Q16_suggest,No suggestions.
T1,Course A,T1_A_09,Q12_balance,Q12_balance,AI tutor helps my ability to succeed by breaking down certain aspects of a lesson that I didn't understand. I don't think it hinders me because I use it as a tool to help me do my work not have it to it for me.
T1,Course A,T1_A_09,Q13_features,Q13_features,I think that the AI tutor is most helpful when it give each step and if you ask it to break it down more for you it will.
T1,Course A,T1_A_09,Q14_equity,Q14_equity,I personally think that it accommodates for all students equally because if you ask it to do a specific thing then it will most likely do that for you or get somewhere close to you better understanding.
T1,Course A,T1_A_09,Q15_critthink,Q15_critthink,"A time where it helped me learn how to do a certain lesson was when I missed class due to traveling for my sport. It helps me to understand the steps in a form that I comprehend, and then i'll do the problem on my own and then if I get anything wrong ill be able to see where I went wrong."
T1,Course A,T1_A_09,Q16_suggest,Q16_suggest,"In my opinion, I think that it is doing just enough. Not over barring but also do under doing it."
T1,Course A,T1_A_10,Q12_balance,Q12_balance,it helps my ability to succeed because I can understand what I need to do and ask as many questions as I need to.
T1,Course A,T1_A_10,Q13_features,Q13_features,N/A
T1,Course A,T1_A_10,Q14_equity,Q14_equity,I think it does because it can teach the material in different ways for you to understand.
T1,Course A,T1_A_10,Q15_critthink,Q15_critthink,It helps walk me through the process and I think it helps me solve problems independently because I can understand every single step.
T1,Course A,T1_A_10,Q16_suggest,Q16_suggest,N/A
T1,Course A,T1_A_11,Q12_balance,Q12_balance,with the AI tool it helps me better understand a problem when I am either confused or don't know where to start.
T1,Course A,T1_A_11,Q13_features,Q13_features,i find it help full that it asks questions related to the answer we are trying to get and that it communicates with me as if i am talking to someone else. i think it could improve on giving more examples relates to the problem being asked.
T1,Course A,T1_A_11,Q14_equity,Q14_equity,"yes i think it does, everyone has it available for them and can be used at any time."
T1,Course A,T1_A_11,Q15_critthink,Q15_critthink,"it has helped me in the aspect of finding a formula and explaining why it is the formula is use. for example, I was a bit confused on the formula with the test statistics but i asked the AI and it provided the formula and explanation which was nice."
T1,Course A,T1_A_11,Q16_suggest,Q16_suggest,"i honestly think it is great, i dint think it needs improvements."
T1,Course A,T1_A_12,Q12_balance,Q12_balance,"Work-life-class balance to integrate AI is helpful, it can help me with my grammar when writing essays and remind me of ways to problem solve."
T1,Course A,T1_A_12,Q13_features,Q13_features,"The features I find most helpful is reminding me of r codes, no improvement needed."
T1,Course A,T1_A_12,Q14_equity,Q14_equity,"Yes, it can be helpful depending on what problems students need help with."
T1,Course A,T1_A_12,Q15_critthink,Q15_critthink,"The AI tutor helps me when needed in problems, I cannot recall a specific instance."
T1,Course A,T1_A_12,Q16_suggest,Q16_suggest,No
T1,Course A,T1_A_13,Q12_balance,Q12_balance,"AI ends up being a shortcut to learning the material, which I think ends up hurting the student more than helping them actually understand the material."
T1,Course A,T1_A_13,Q13_features,Q13_features,I find the math feature the most helpful because it helps me break down the problem step by step.
T1,Course A,T1_A_13,Q14_equity,Q14_equity,I think it does accommodates the needs of all students equally if the students know how to use it correctly.
T1,Course A,T1_A_13,Q15_critthink,Q15_critthink,In this Statistics class we had an individual project and the math AI I was given to use helped me remember what certain concepts met and remembering RScript codes for the project.
T1,Course A,T1_A_13,Q16_suggest,Q16_suggest,Maye shortening the databases it uses to ones that are relevant to the searches or weed out any unreliable sources in its programming.
T1,Course A,T1_A_14,Q12_balance,Q12_balance,AI tools help my ability to manage and succeed by helping me remember concepts that I might have forgotten. They help refresh my brain.
T1,Course A,T1_A_14,Q13_features,Q13_features,"The features that are most helpful are how straightforward it is and if there is ever confusion, it clears it up."
T1,Course A,T1_A_14,Q14_equity,Q14_equity,I think that the AI tutor accommodates the needs of all the students equally. I don't think there is any bias.
T1,Course A,T1_A_14,Q15_critthink,Q15_critthink,"The tutor has helped me solve problems independently. For the individual project, it helped me describe things like the value of the variance or mean."
T1,Course A,T1_A_14,Q16_suggest,Q16_suggest,So far I think that everything is good! :)
T1,Course B,T1_B_01,Q12_balance,Q12_balance,"With school and work, where I use a bit of coding, it definitely helps laying out a base for any project/homework that I need to get done."
T1,Course B,T1_B_01,Q13_features,Q13_features,N/A
T1,Course B,T1_B_01,Q14_equity,Q14_equity,I'd say it does. It answers my questions and adds extra information that is useful in case of me not understanding with the answer it gave me.
T1,Course B,T1_B_01,Q15_critthink,Q15_critthink,It does make it easier for me to go ahead and avoid thinking of what I need to do when the AI does the work for the most part.
T1,Course B,T1_B_01,Q16_suggest,Q16_suggest,I can't think of any suggestions for the AI tutor.
T1,Course B,T1_B_02,Q12_balance,Q12_balance,This is the frontier of the future. AI tools designed for us will provide the best help versus being in a time crunch and just getting the answers elsewhere.
T1,Course B,T1_B_02,Q13_features,Q13_features,So far it seems like the prompts i write don't necessarily generate clear enough answers I expected.
T1,Course B,T1_B_02,Q14_equity,Q14_equity,I can only speak for myself as I have had a positive experience with the tutor.
T1,Course B,T1_B_02,Q15_critthink,Q15_critthink,The worst part of doing an assignment is being stuck and having little confidence in the positing you're in but having the tutor to help shed light on issues have been good.
T1,Course B,T1_B_02,Q16_suggest,Q16_suggest,AI tutor assignments for ever topic that can help us understand the material from different angles will be a great resource.
T1,Course B,T1_B_03,Q12_balance,Q12_balance,"AI tools help me since with my work-life-class balance, I don't have the time available to go to tutoring centers and the AI tools are available at any time of the day rather than the certain hours for in person interaction."
T1,Course B,T1_B_03,Q13_features,Q13_features,"The features of the AI tutor that I find most helpful is that it knows the course material and is able to explain. The features that need improvement is not giving the answer and needs a bit more work on following the prompts. For example if I were to prompt it to say: Show me how to find the answer to this problem, I would like it to generate a list of things I need to do to find the answer and for it to give hints such as (** it may be a good idea to use Theorem ... here)."
T1,Course B,T1_B_03,Q14_equity,Q14_equity,"I feel that the AI tutor accommodates everyone equally since for the needs of each student, they can prompt it to do different things."
T1,Course B,T1_B_03,Q15_critthink,Q15_critthink,"Using the AI tutor has definitely had a positive affect when it comes to my own critical thinking and solving problems on my own. A specific instance where it helped me was on the las AI assignment where I did the problem twice, once with the AI tutor and once without and felt that I definitely found it easier doing it the second time since I was able to fully understand the problem."
T1,Course B,T1_B_03,Q16_suggest,Q16_suggest,"I believe that there are many things that could be done to improve these AI tutoring systems. Before I get to that though, I do want to say that I personally believe that AI tutoring is and will be extremely beneficial for both educators and students since it is accessible at any time and any place and does not carry the fear of feeling ""dumb"" when asking questions.  

Improvements: 

* Access to the whole textbook and being able to scan the whole textbook.

* Educators input all notes and in class examples so that students can review what notes happened in class just in case they didn't fully understand.

* What I mean by this is an educator could use a handwriting to text program and have the AI tutor have the master notes for the class so the tutor knows what the students might be referencing when talking about an example from class. 

* A feature that the AI tutor could use is a more advanced and tailored practice exam setup. 

* I have personally tried to have the AI give me a short exam to test my understanding of what I had just discussed with the AI, but it always feels a bit off and they usually solve things differently than I was taught so I believe that if the AI tutoring systems would be able to nail that it would be extremely beneficial."
T1,Course B,T1_B_04,Q12_balance,Q12_balance,It helps explain complex terms by explaining what the questions is asking me or what a certain thing means.
T1,Course B,T1_B_04,Q13_features,Q13_features,"I like that is has definitions from the book, and theorems. Some aspects that need improvement would be the variables it uses maybe having c for constants."
T1,Course B,T1_B_04,Q14_equity,Q14_equity,"Yes, I feel like AI accommodates the needs of all students equally."
T1,Course B,T1_B_04,Q15_critthink,Q15_critthink,"Sometimes it spits out the answer, it does not ask me questions to think  about the problem myself."
T1,Course B,T1_B_04,Q16_suggest,Q16_suggest,Nothing I can think right now.
T1,Course B,T1_B_05,Q12_balance,Q12_balance,"I never really used AI tools until the AI tutor was introduced to me in this course. From then on out, it is the only type of AI that I use and it has been very helpful in allowing me to grasp a deeper understanding of the course material that I did not quite understand during class time. However, when I do use the AI tutor, I do notice that it takes me a longer to complete a certain assignment, which results is less time for other assignments."
T1,Course B,T1_B_05,Q13_features,Q13_features,"One of the features that I found most helpful is that it searches and pulls information directly from the book and class notes. I find this very helpful because there is less of a chance to receive an explanation that differs from what we are learning in class. I think it needs to improve in not giving the answer, but rather simply showing the steps or explaining the concept."
T1,Course B,T1_B_05,Q14_equity,Q14_equity,I would say that it does because it is the individual student that prompts the AI allowing it to accommodate to that specific student.
T1,Course B,T1_B_05,Q15_critthink,Q15_critthink,"It is has helped me to understand what to look for first when starting a problem and what steps should be taken after. At times when the AI gives explanations that do not go hand in hand with what was taught in class, I end up more confused then before."
T1,Course B,T1_B_05,Q16_suggest,Q16_suggest,The AI needs to improve in not giving the direct answer right away.
T1,Course B,T1_B_06,Q12_balance,Q12_balance,It helps me understand topics but at times it’s a bit difficult using AI to learn without getting the answers
T1,Course B,T1_B_06,Q13_features,Q13_features,With the Stats gpt it’s nice seeing the work done in the manner it’s shown in class
T1,Course B,T1_B_06,Q14_equity,Q14_equity,Yes
T1,Course B,T1_B_06,Q15_critthink,Q15_critthink,When used correctly it allows me to get a hint that then lets me figure out what I need to do independently.
T1,Course B,T1_B_06,Q16_suggest,Q16_suggest,None
T1,Course B,T1_B_07,Q12_balance,Q12_balance,"AI tools are very helpful when performing tasks. I mainly use them to confirm answers and provide more similar problems to practice on. Additionally, they save me time by offering instant feedback."
T1,Course B,T1_B_07,Q13_features,Q13_features,"AI tutors can provide instant answers or hints when you are verifying an answer or need help with a problem. However, some features still need improvement, as AI can occasionally provide incorrect solutions, which may confuse students."
T1,Course B,T1_B_07,Q14_equity,Q14_equity,"AI tutors accomodate the needs of all students equally. Computer devices with internet connections are easily accessible to students, particularly in the library, and they can also access AI tutors on their mobile devices."
T1,Course B,T1_B_07,Q15_critthink,Q15_critthink,"Having an AI tutor has been helpful for improving my ability to think critically and solve problems independently, largely because AI can adapt solutions to best suit my needs. For instance, if I ask the AI to solve a problem in a specific way — such as providing more similar examples, breaking down steps into bullet points, or explaining them in a paragraph form — it can do so effectively."
T1,Course B,T1_B_07,Q16_suggest,Q16_suggest,I have no suggestions.
T1,Course B,T1_B_08,Q12_balance,Q12_balance,A.I tools allow me to be more time efficient. I would say that this is the case since having access to an online tutor who can almost as helpful as an instructor gives me more of a sense of freedom.
T1,Course B,T1_B_08,Q13_features,Q13_features,I would say that the best features of the AI tutor is how it can give you a good step by step break down on how to approach a problem. The only con that I've seen using this AI tutor is that if you are not specific enough it will give you the full solution.
T1,Course B,T1_B_08,Q14_equity,Q14_equity,I believe that the AI tutor does a good job in accommodating every student at an equal level. I believe that this is that case because every person can ask their personal questions.
T1,Course B,T1_B_08,Q15_critthink,Q15_critthink,"I would say if used the wrong way, it would limit our critical thinking. In this case since this is used more as a tutor I would say that it does the opposite."
T1,Course B,T1_B_08,Q16_suggest,Q16_suggest,No suggestions yet.
T1,Course B,T1_B_09,Q12_balance,Q12_balance,"Generally I think that AI tools can be very helpful because it can give you starting ideas when you are stuck or just need a little push. Sometimes it's very good at specific examples too. With AI being so strong, it's hard not to just ask it for how to do everything but I think that we just have to learn how to use AI more responsibly. It's a powerful learning tool rather than a homework answer generator."
T1,Course B,T1_B_09,Q13_features,Q13_features,A very good feature that I find the most helpful is its ability to know exactly what I mean even if I give it minimal context. It's very use friendly in that I don't have to be very specific to get what I want out of it. I can ask a question in simple terms and it will respond very thoroughly.
T1,Course B,T1_B_09,Q14_equity,Q14_equity,"I think that because of how versatile the AI can be, it seems to be able to work with any challenges. I haven't had any problems using AI"
T1,Course B,T1_B_09,Q15_critthink,Q15_critthink,"It is very good at guiding me during problems, but at the same time it is very good at accidently giving me the answer straight up. I think that it is very eager to give me a full answer."
T1,Course B,T1_B_09,Q16_suggest,Q16_suggest,No I think there are no improvements besides how it gives me the answers all the time
T1,Course B,T1_B_10,Q12_balance,Q12_balance,"It both helps and hinders me in my ability to manage and succeed. I have a very busy life so using the AI does help me get through the lessons, homework, activities, etc. However, as it is helping me recall what I would need to know in order to complete the assignment, I do feel like my memory retention for courses has been impacted greatly. It already wasn't great to begin with but I can very clearly see how I'm unable to recall formulas and theorem with ease. I have started to try to fix this but it did get worse with the AI tools. I do still think its worth it as I just have to adjust to this and the benefits of having clear explanations or being told what I should know does help me be able to independently do my work."
T1,Course B,T1_B_10,Q13_features,Q13_features,The thing I find the most helpful is that I can be told what prior knowledge I should have in order to be able to complete the problems. This is essential for me as I always have limited time to do school work or study. With this I am able to focus in on what I need to or can ask the tutor to explain to me the concepts that I may have forgotten. I also find extremely helpful that it can give me an example problem similar to what I need help with and then help me step by step. The explanations it gives me for each step helps me understand what I'm doing and why. This is something I didn't have at the beginning of the semester which is why I don't think anything really stuck with me.
T1,Course B,T1_B_10,Q14_equity,Q14_equity,I think it does help all accommodate all students equally.
T1,Course B,T1_B_10,Q15_critthink,Q15_critthink,I think it hindered in a way as I mentioned earlier as I'm unable to recall stuff easily but it still has a lot of good that outweighs the bad.
T1,Course B,T1_B_10,Q16_suggest,Q16_suggest,nope no suggestions
T1,Course B,T1_B_11,Q12_balance,Q12_balance,"Very helpful as I prefer asking questions and having them answer, verses reading a book. The AI provides immediate feedback and the custom AI provides feedback in a way that is similar to the way we are taught in class."
T1,Course B,T1_B_11,Q13_features,Q13_features,The only improvement would be if I was able to copy and paste the question into AI and then ask questions about the step needed. When you copy and paste the question into AI it automatically walks you through the problem step by step and provides the answer at the end. The most helpful part was that the feedback was exactly like the book and the lectures. I didn't like using AI before because it seemed like it would always try to teach me a different way that I wasn't taught in class and I would end up more confused.
T1,Course B,T1_B_11,Q14_equity,Q14_equity,"It can be a bit of a learning curve. At first I would get frustrated because I wasn't getting the responses I wanted. After playing around with it a bit and seeing how my classmates worded questions, I got the hang of it and use it quiet frequently now."
T1,Course B,T1_B_11,Q15_critthink,Q15_critthink,"It has helped me to think critically because I can ask ""why"" instead of just memorizing that when the sample is small I use a t-distribution and when it is large I use a normal distribution. I know this was something that was gone over in class but it nice to be able to remind myself why I am doing certain steps instead of just doing them. AI provides that immediate feedback."
T1,Course B,T1_B_11,Q16_suggest,Q16_suggest,Just prompt it to not answer questions when they are copied an pasted.
T1,Course B,T1_B_12,Q12_balance,Q12_balance,AI tools helps me plenty of time doing homework. Looking for formulas takes forever than asking AI.
T1,Course B,T1_B_12,Q13_features,Q13_features,The features AI tutor I find the most helpful is showing the the step by step solution to solve a problem. I also like that I can ask AI the steps without giving me the final answer.
T1,Course B,T1_B_12,Q14_equity,Q14_equity,I feel that AI tutor accommodates the needs of all students equally because AI explains things clearly and makes sure that you understand everything.
T1,Course B,T1_B_12,Q15_critthink,Q15_critthink,AI tutor affected my ability to think critically and solve problems independently by doin a lot of problems and showing me the steps how to do it.
T1,Course B,T1_B_12,Q16_suggest,Q16_suggest,No.
T1,Course B,T1_B_13,Q12_balance,Q12_balance,"I feel like they really do help with figuring out definitions and concepts, and they really help me find the steps to do a problem, but I feel sometimes that the AI has trouble explaining and if you do ask it to help with a step on a problem it skips a lot of the simple algebra that are sometimes confusing."
T1,Course B,T1_B_13,Q13_features,Q13_features,"I found that its definitions and concepts are on point, and gives the best explanations of definitions, concepts, or steps to solve a problem. However, if I ask the tutor to solve or give a hint on a certain step of the problem it sometimes skips a lot of steps and just shows the answer, maybe I just need to engineer the prompt better."
T1,Course B,T1_B_13,Q14_equity,Q14_equity,"Yes I do feel it accommodates all students equally, I think the only challenge with the AI tutor is that we don't have ChatGPT premium, but that will change soon."
T1,Course B,T1_B_13,Q15_critthink,Q15_critthink,"I feel like it has helped me become quicker at solving problems independently and use my time more efficiently. Before the AI tutor I would often get stuck on a problem and then be stuck for maybe 30 minutes, but now with the AI tutor if I get stuck on a problem I can ask for a hint and that will help get me unstuck and start flowing through the problem."
T1,Course B,T1_B_13,Q16_suggest,Q16_suggest,No suggestions that I can think of as of now.
T1,Course B,T1_B_14,Q12_balance,Q12_balance,They helped me summarize and practice exams/examples when studying for midterms and exams. Has cut the time it takes to find questions or videos to study and then review.
T1,Course B,T1_B_14,Q13_features,Q13_features,"Practicing examples and testing my knowledge, and to see what I need to expand on. I know for Exam 1, I uploaded my homework assignments 1 by 1 and make it create similar problems and each question I would type step by step and see if I got the answer."
T1,Course B,T1_B_14,Q14_equity,Q14_equity,"No, for math it can be beneficial for studying, but take something like philosophy, which is more thought-provoking and personal; I feel like it would not be as useful. The same goes for typing an essay; it can definitely help with coming up with ideas and where to start, but I would not trust it to find evidence or reasoning."
T1,Course B,T1_B_14,Q15_critthink,Q15_critthink,"I would say that for exam 1, it had me repeat the same processes repeatedly to understand how to break down the problem. Not only that, but it pointed out some key flaws in my thinking and recommended some strategies to consider."
T1,Course B,T1_B_14,Q16_suggest,Q16_suggest,"Sometimes it would still spit out the answers even though sometimes you state it not to, and I do not want to upload homework into the AI so that it can create questions"
T1,Course B,T1_B_15,Q12_balance,Q12_balance,The AI tools help summarize readings I have to do for other classes. Instead of having to read every single chapter I can summarize and get to finish my work on time.
T1,Course B,T1_B_15,Q13_features,Q13_features,"I like that it summarizes the notes and if I need another explanation, it will break it down."
T1,Course B,T1_B_15,Q14_equity,Q14_equity,"I think it does. If students don't have access to the internet at home, then they can go to the library or any other computer lab here on campus."
T1,Course B,T1_B_15,Q15_critthink,Q15_critthink,It helps me by telling me what to start with and what method I should use to solve a problem.
T1,Course B,T1_B_15,Q16_suggest,Q16_suggest,Sometimes I would like for it not to tell me the whole answer to a problem. That's my only concern.
T1,Course B,T1_B_16,Q12_balance,Q12_balance,"It helps me because if I have questions or need step by step assistance I can have the AI tutor help me instead of having to wait for someone that can explain it to me in person. It helps save time because you don’t have to spend hours on a problem you don’t understand, you can get help immediately."
T1,Course B,T1_B_16,Q13_features,Q13_features,When you ask to break down a step by step process and it explains every step
T1,Course B,T1_B_16,Q14_equity,Q14_equity,Personally haven’t ran into any issues
T1,Course B,T1_B_16,Q15_critthink,Q15_critthink,"If there is something I don’t understand and the AI Helps me solve it step by step with explanation, I can then reproduce this process on my own for another problem without using the AI. In the end it does help ,e understand the material and the processes better."
T1,Course B,T1_B_16,Q16_suggest,Q16_suggest,not at this moment
T1,Course B,T1_B_17,Q12_balance,Q12_balance,It helps by providing information quicker and if I need more clarification I can as it to rephrase it or go more into detail.
T1,Course B,T1_B_17,Q13_features,Q13_features,That is able to explain questions and give me definitions of what I’m doing almost like a conversation with just giving me the answers
T1,Course B,T1_B_17,Q14_equity,Q14_equity,I think it does
T1,Course B,T1_B_17,Q15_critthink,Q15_critthink,it’s has helped expanding my learning and better understanding the course material
T1,Course B,T1_B_17,Q16_suggest,Q16_suggest,So far so good!
T2,Course A,T2_A_01,Q12_balance,Q12_balance,The AI tools help me because they are like a stepping stone and lead me in the right direction. The only way it could hinder me is if the AI gives me the answer before I've worked through the problem myself.
T2,Course A,T2_A_01,Q13_features,Q13_features,So far with [course name redacted] I haven't had any issues with the AI tools that are provided.
T2,Course A,T2_A_01,Q14_equity,Q14_equity,I feel like the AI tutor accommodates the need of all students equally because it can break down as many steps as you personally need.
T2,Course A,T2_A_01,Q15_critthink,Q15_critthink,it has helped me because it shows you the first steps then guides you through on how to get to the final answer.
T2,Course A,T2_A_01,Q16_suggest,Q16_suggest,"I think it's evolving at a good pace, but the [course name redacted] AI tool is really good and a great way to provide help when the teacher isn't able to at that very moment."
T2,Course A,T2_A_02,Q12_balance,Q12_balance,Considering my work-life-class balance the use of AI tools help me so much. I am able to study more efficiently and much faster. I like that I can ask any question and break it down and learn it in seconds.
T2,Course A,T2_A_02,Q13_features,Q13_features,My favorite feature is how it can makes quizzes and adapt to how well you know certain topics or add more questions you need help with.
T2,Course A,T2_A_02,Q14_equity,Q14_equity,Yes I believe it can accommodate the needs of all students equally.
T2,Course A,T2_A_02,Q15_critthink,Q15_critthink,I am able to practice problems I need help with and practice understanding the material so I am able to fully understand problems independently.
T2,Course A,T2_A_02,Q16_suggest,Q16_suggest,"No, I think its great."
T2,Course A,T2_A_03,Q12_balance,Q12_balance,The tools help my ability to succeed by making the assignments more organized.
T2,Course A,T2_A_03,Q13_features,Q13_features,I liked all of the various bots! I also liked how there was many different things from the lectures.
T2,Course A,T2_A_03,Q14_equity,Q14_equity,The AI tutor accommodates the needs of all students equally.
T2,Course A,T2_A_03,Q15_critthink,Q15_critthink,It has helped me positively! It helped me learn how to convert the R session to a Word document for AI assignment 4.
T2,Course A,T2_A_03,Q16_suggest,Q16_suggest,I think everything is good! :)
T2,Course A,T2_A_04,Q12_balance,Q12_balance,"It helps me doing my work when I don’t have an instructor available. As for life part, I do not use AI tools enough to have an opinion."
T2,Course A,T2_A_04,Q13_features,Q13_features,I find the specific GPT bots really helpful. Especially those connected towards R. It explains why we use the codes in a good way. As far as improvement I haven’t used it enough to see any problems.
T2,Course A,T2_A_04,Q14_equity,Q14_equity,Yes I personally do.
T2,Course A,T2_A_04,Q15_critthink,Q15_critthink,It can provide more exercises that helps me understand the concept. One instance is where I used it before an exam to make mock exams.
T2,Course A,T2_A_04,Q16_suggest,Q16_suggest,The only I can think of is making sure that the response is actually helpful. Sometimes it provides information about concepts around the topic and not the one you want to actually learn more about.
T2,Course A,T2_A_05,Q12_balance,Q12_balance,Helps with getting ideas.
T2,Course A,T2_A_05,Q13_features,Q13_features,Helps with getting ideas. One improvement can be to load faster. Sometime when I say something the answer takes a while to load.
T2,Course A,T2_A_05,Q14_equity,Q14_equity,Yes I mean AI is literally like a robot.
T2,Course A,T2_A_05,Q15_critthink,Q15_critthink,Helps with getting ideas.
T2,Course A,T2_A_05,Q16_suggest,Q16_suggest,no
T2,Course A,T2_A_07,Q12_balance,Q12_balance,it helps me quite a lot for example I’m stuck on question I use it so it can break down the question for me.
T2,Course A,T2_A_07,Q13_features,Q13_features,That it gives you solutions to your answers.
T2,Course A,T2_A_07,Q14_equity,Q14_equity,yes I believe AI tutor accommodates the needs for all students.
T2,Course A,T2_A_07,Q15_critthink,Q15_critthink,It hasn’t really changed how I usually solve my problems it’s more like it helps me understand it a lot more.
T2,Course A,T2_A_07,Q16_suggest,Q16_suggest,None
T2,Course A,T2_A_08,Q12_balance,Q12_balance,AI helps hinder my ability to succeed because it shows me step by step example of how something functions.
T2,Course A,T2_A_08,Q13_features,Q13_features,The way it's very specific with its responses and if I needed further explanation it helped to get me to that understanding.
